
Learning_Rate,0.01,1,41927.199819769645,41084.07394512195
Learning_Rate,0.01,2,40991.39947886913,40078.605100640554
Learning_Rate,0.01,3,41186.06402224995,40316.74384990973
Learning_Rate,0.05,1,37685.164191808195,36948.47464290345
Learning_Rate,0.05,2,40131.24649668459,39357.80283582183
Learning_Rate,0.05,3,37774.08432599193,37248.624644296
Learning_Rate,0.1,1,38757.78950474315,37997.968160147546
Learning_Rate,0.1,2,39961.112532962994,39094.27091599818
Learning_Rate,0.1,3,41045.3809377189,41326.60605542882
Learning_Rate,0.5,1,36009.57633487598,35502.81346772468
Learning_Rate,0.5,2,35902.70368616998,35283.077507043745
Learning_Rate,0.5,3,37968.69932343844,37374.862696183714
Batch_Size,1,1,39137.531492217175,38658.71162845743
Batch_Size,1,2,36948.26233148409,36397.60233036398
Batch_Size,1,3,49700.33512427488,49567.78631391505
Batch_Size,10,1,41882.60763600472,40870.02012063869
Batch_Size,10,2,40632.652375114456,39703.85206959327
Batch_Size,10,3,40609.59732781603,39695.03079674362
Batch_Size,32,1,44583.549754101696,43314.589303416564
Batch_Size,32,2,44397.025583484356,43223.69259052366
Batch_Size,32,3,43747.28493800078,42642.433485290414
Batch_Size,128,1,45592.812835626704,44504.17265501947
Batch_Size,128,2,46137.48258848651,44973.65272419624
Batch_Size,128,3,48826.49468393694,47455.21671063337
Epochs,20,1,40598.85145601002,39732.49243320861
Epochs,20,2,41086.63404588167,40266.3263562173
Epochs,20,3,40811.41210305563,39891.562129678074
Epochs,40,1,39380.05519112126,38470.033879213435
Epochs,40,2,39635.73143806992,38785.57191527445
Epochs,40,3,39117.55719581086,38410.068603851374
Epochs,80,1,39249.80916826801,38241.38969971836
Epochs,80,2,37597.23500542942,36981.09810829881
Epochs,80,3,37689.60933080166,37100.97774120007
Epochs,150,1,36006.438849009966,35654.29863596154
Epochs,150,2,35877.84812144299,35186.898899525244
Epochs,150,3,36476.88867779897,35960.42061358516
Hidden_Neurons,10,1,40569.844207722825,39586.57268815892
Hidden_Neurons,10,2,40844.55137418143,40042.93138350398
Hidden_Neurons,10,3,40744.81464160787,39903.31389506768
Hidden_Neurons,20,1,41396.08060885834,40398.726503914266
Hidden_Neurons,20,2,40622.07962790774,39723.18841940102
Hidden_Neurons,20,3,41306.263958029354,40461.643063723976
Hidden_Neurons,50,1,40874.8820092238,40053.933696361324
Hidden_Neurons,50,2,41052.49563513298,40088.788404734216
Hidden_Neurons,50,3,43192.45759155385,42480.92903709462
