Split_Ratio,0.5,3,96.48285714285714,95.00857142857143
Split_Ratio,0.5,best,96.48285714285714,95.00857142857143
Split_Ratio,0.7,1,96.32857142857144,95.24285714285713
Split_Ratio,0.7,2,96.3530612244898,95.13809523809523
Split_Ratio,0.7,3,96.45510204081633,95.16190476190476
Split_Ratio,0.7,best,96.32857142857144,95.24285714285713
Split_Ratio,0.8,1,96.56964285714285,95.52142857142857
Split_Ratio,0.8,2,96.26071428571429,95.10714285714286
Split_Ratio,0.8,3,96.77321428571429,95.53571428571429
Split_Ratio,0.8,best,96.77321428571429,95.53571428571429
Split_Ratio,0.9,1,96.32222222222222,95.44285714285714
Split_Ratio,0.9,2,96.92857142857143,95.84285714285714
Split_Ratio,0.9,3,96.96349206349207,96.08571428571429
Split_Ratio,0.9,best,96.96349206349207,96.08571428571429
